state,lat,lon
AK,64.2,-149.5
AL,32.8,-86.8
AR,34.8,-92.2
AZ,34.2,-111.7
CA,36.8,-119.4
CO,39.0,-105.5
CT,41.6,-72.7
DE,39.0,-75.5
GA,32.7,-83.4
HI,20.8,-156.3
IA,42.1,-93.5
ID,44.1,-114.7
IL,40.0,-89.2
IN,39.0,-86.3
KS,38.5,-98.0
KY,37.5,-85.3
LA,31.0,-92.0
MA,42.4,-71.4
MD,39.0,-76.7
ME,45.3,-69.3
MI,44.3,-85.6
MN,46.3,-94.2
MO,38.5,-92.6
MS,32.7,-89.7
MT,46.9,-110.4
NC,35.6,-79.4
ND,47.5,-100.5
NE,41.5,-99.7
NH,43.9,-71.6
NJ,40.1,-74.7
NM,34.3,-106.0
NV,39.5,-116.6
NY,42.9,-75.0
OH,40.3,-82.8
OK,35.6,-97.5
OR,43.9,-120.6
PA,40.9,-77.8
RI,41.6,-71.5
SC,33.8,-80.9
SD,44.3,-100.2
TN,35.8,-86.4
TX,31.5,-99.3
UT,39.3,-111.7
VA,37.5,-78.8
VT,44.1,-72.7
WA,47.4,-120.6
WI,44.7,-89.7
WV,38.6,-80.6
WY,42.9,-107.6
